,Pfam_Label,If_Cas_Related_Protein
0,Bridge helix of CRISPR-associated endonuclease Cas9,
1,CRISPR Cas6 N-terminal domain,
2,CRISPR Csm4 C-terminal domain,
3,"CRISPR RNA silencing complex Cmr2 subunit, second helical domain",
4,CRISPR associated protein,
5,CRISPR associated protein Cas1,
6,CRISPR associated protein Cas2,
7,"CRISPR associated protein Cas6, C-terminal",
8,CRISPR-Cas9 PI domain,
9,CRISPR-Cas9 WED domain,
10,CRISPR-associated (Cas) DxTHG family,
11,"CRISPR-associated Cas3 subtype I-F/YPEST-like, C-terminal domain",
12,CRISPR-associated endonuclease Cas9 alpha-helical lobe,
13,CRISPR-associated endonuclease Cas9 beta-hairpin domain,
14,"CRISPR-associated endonuclease Cas9, C-terminal domain",
15,CRISPR-associated endoribonuclease Cas6,
16,CRISPR-associated exonuclease Csa1,
17,CRISPR-associated negative auto-regulator DevR/Csa2,
18,"CRISPR-associated nuclease/helicase Cas3, I-F/YPEST, Cas2 domain",
19,CRISPR-associated protein (Cas_APE2256),
20,CRISPR-associated protein (Cas_CXXC_CXXC),
21,CRISPR-associated protein (Cas_Cas02710),
22,CRISPR-associated protein (Cas_Cas2CT1978),
23,CRISPR-associated protein (Cas_Cas5),
24,CRISPR-associated protein (Cas_Cmr3),
25,CRISPR-associated protein (Cas_Cmr5),
26,CRISPR-associated protein (Cas_Csa4),
27,CRISPR-associated protein (Cas_Csa5),
28,CRISPR-associated protein (Cas_Csd1),
29,CRISPR-associated protein (Cas_Csm6),
30,CRISPR-associated protein (Cas_Csn2),
31,CRISPR-associated protein (Cas_Csx9),
32,CRISPR-associated protein (Cas_Csy1),
33,CRISPR-associated protein (Cas_Csy2),
34,CRISPR-associated protein (Cas_Csy3),
35,CRISPR-associated protein (Cas_Csy4),
36,CRISPR-associated protein (Cas_csx3),
37,"CRISPR-associated protein Cas6, N-terminal",
38,CRISPR-associated protein Cas7,
39,"CRISPR-associated protein Cmr2, N-terminal",
40,CRISPR-associated protein Cse1 (CRISPR_cse1),
41,CRISPR-associated protein Cse2 (CRISPR_cse2),
42,CRISPR-associated protein Csn2 subfamily St,
43,CRISPR-associated protein Csx8 (Cas_Csx8),
44,CRISPR-associated protein GSU0053 (Cas_GSU0053),
