,Label1,Label2,Count,Total_Label_1,Total_Label_2,p_value,p_value_fdr
0,Helix-turn-helix domain of resolvase,Integrase core domain,4,135,588,0.0013517421058289246,0.002740730684666079
1,Helix-turn-helix domain of resolvase,Integrase zinc binding domain,2,135,325,0.02832813687351261,0.03828622041529644
2,Helix-turn-helix domain of resolvase,Recombinase,21,135,708,1.207526128438296e-26,5.793043563275788e-25
3,Helix-turn-helix domain of resolvase,"Resolvase, N terminal domain",23,135,700,3.959437311187356e-30,2.160139453388416e-28
4,Integrase core domain,"Resolvase, N terminal domain",4,588,700,0.22958961922585933,0.25515853570185937
5,Integrase zinc binding domain,"Resolvase, N terminal domain",4,325,700,0.047671199338350415,0.06089814584944221
6,Recombinase,"Resolvase, N terminal domain",98,708,700,6.92782896496453e-116,1.1838571860212528e-113
7,"Resolvase, N terminal domain","Resolvase, N terminal domain",57,700,700,5.303444462151725e-54,5.053424937507429e-52
8,GAD domain,N-6 DNA Methylase,2,37,86,0.0001693524114629943,0.000470595324797787
9,N-6 DNA Methylase,"tRNA synthetases class II (D, K and N)",2,86,37,0.0001693524114629943,0.000470595324797787
10,N-6 DNA Methylase,OB-fold nucleic acid binding domain,2,86,117,0.001680424066918487,0.0033078949382781375
11,N-6 DNA Methylase,Poly A polymerase head domain,2,86,94,0.0010906666707328515,0.002280274502175022
12,N-6 DNA Methylase,tRNA nucleotidyltransferase domain 2 putative,2,86,41,0.00020823541069814991,0.0005606358837246934
13,N-6 DNA Methylase,Probable RNA and SrmB- binding site of polymerase A,2,86,112,0.0015418230664631706,0.0030732782109724314
14,Formamidopyrimidine-DNA glycosylase H2TH domain,N-6 DNA Methylase,2,19,86,4.374296725478717e-05,0.00015358691355531236
15,N-6 DNA Methylase,Zinc finger found in FPG and IleRS,2,86,19,4.374296725478716e-05,0.00015358691355531236
16,Formamidopyrimidine-DNA glycosylase N-terminal domain,N-6 DNA Methylase,2,19,86,4.374296725478717e-05,0.00015358691355531236
17,N-6 DNA Methylase,PP-loop family,2,86,77,0.0007342282751206105,0.0016263136630604031
18,N-6 DNA Methylase,TilS substrate C-terminal domain,2,86,66,0.0005402158518428778,0.0012554266822743536
19,GAD domain,HsdM N-terminal domain,2,37,40,3.6371563359638305e-05,0.00013095156113307352
20,HsdM N-terminal domain,"tRNA synthetases class II (D, K and N)",2,40,37,3.6371563359638305e-05,0.00013095156113307352
21,HsdM N-terminal domain,OB-fold nucleic acid binding domain,2,40,117,0.000366172150328224,0.0009051215244873506
22,HsdM N-terminal domain,Poly A polymerase head domain,2,40,94,0.00023667442280680086,0.0006243578770574409
23,HsdM N-terminal domain,tRNA nucleotidyltransferase domain 2 putative,2,40,41,4.475490451364172e-05,0.00015644922411302956
24,HsdM N-terminal domain,Probable RNA and SrmB- binding site of polymerase A,2,40,112,0.00033566673341358527,0.0008388422826677185
25,Formamidopyrimidine-DNA glycosylase H2TH domain,HsdM N-terminal domain,2,19,40,9.363933967084848e-06,4.210003536364719e-05
