x,y,id,crispr_class,crispr_type,crispr_subtype,operon_size,database
8.015951,3.5350184,1,1.0,I,I-G,4.0,flsh
0.42993224,2.1610594,2,1.0,III,III-A,13.0,flsh
7.233609,9.465505,3,1.0,I,I-F,5.0,flsh
7.6084247,10.010196,4,1.0,I,I-F,7.0,flsh
13.043964,-4.225872,5,2.0,II,II-D,1.0,flsh
0.45250845,0.92608315,6,1.0,III,III-B,4.0,flsh
10.177767,1.8105549,7,1.0,I,I-C,3.0,flsh
-3.0052338,-4.7302637,8,1.0,I,I-C,4.0,flsh
8.417106,-0.10323446,9,1.0,I,I-B,8.0,flsh
8.421287,-0.09561489,10,1.0,I,I-B,8.0,flsh
3.2038007,-3.8088126,11,2.0,II,II-A,4.0,flsh
2.803703,-3.791786,12,2.0,VI,VI-A,3.0,flsh
7.667953,-6.348896,13,2.0,II,II-A,4.0,flsh
3.6295216,-3.9400294,14,2.0,II,II-A,3.0,flsh
7.3199563,9.249979,15,1.0,I,I-F,6.0,flsh
1.8089917,-0.57931936,16,1.0,III,III-B,10.0,flsh
7.6574445,-6.338228,17,2.0,II,II-A,4.0,flsh
8.422433,-0.00372305,18,1.0,I,I-B,4.0,flsh
5.057386,6.8102956,19,1.0,I,I-E,6.0,flsh
-2.9955363,-4.7212315,20,1.0,I,I-C,5.0,flsh
11.629986,-0.86915463,21,1.0,I,I-C,11.0,flsh
-3.00057,-4.725193,22,1.0,I,I-C,4.0,flsh
1.1886839,-2.0322196,23,1.0,III,III-D,14.0,flsh
1.1874107,-2.02654,24,1.0,III,III-D,14.0,flsh
5.304195,6.8734083,25,1.0,I,I-E,5.0,flsh
10.432306,-1.7275223,26,1.0,I,I-C,11.0,flsh
4.8038836,6.090849,27,1.0,I,I-E,8.0,flsh
1.1828027,-1.2027347,28,1.0,III,III-D,8.0,flsh
13.040031,-1.0537325,29,1.0,I,I-C,8.0,flsh
1.17666,-1.2182426,30,1.0,III,III-D,8.0,flsh
10.64081,2.3131886,31,1.0,I,I-C,4.0,flsh
0.21534671,7.573305,32,2.0,VI,VI-D,3.0,flsh
2.335681,0.5449164,33,1.0,III,III-A,11.0,flsh
12.39813,9.620352,34,2.0,V,V-A,1.0,flsh
13.47299,-4.8210673,35,2.0,II,II-D,1.0,flsh
7.704568,-6.8657336,36,2.0,II,II-A,4.0,flsh
7.623416,-6.882069,37,2.0,II,II-A,4.0,flsh
2.8845997,1.3367612,38,1.0,III,III-A,6.0,flsh
1.5413189,-0.24486697,39,1.0,III,III-B,4.0,flsh
1.0575897,-1.3043736,40,1.0,III,III-D,13.0,flsh
8.134133,-6.9905157,41,2.0,II,II-A,4.0,flsh
11.602664,-0.6422805,42,1.0,I,I-C,6.0,flsh
14.514612,-5.0858817,43,2.0,II,II-D,1.0,flsh
17.352896,-3.0406811,44,2.0,V,V-A,4.0,flsh
12.884776,-4.608322,45,2.0,II,II-D,1.0,flsh
12.378437,9.651164,46,2.0,V,V-A,1.0,flsh
12.882425,-4.609884,47,2.0,II,II-D,1.0,flsh
12.378266,9.651673,48,2.0,V,V-A,1.0,flsh
8.055978,-6.6601195,49,2.0,II,II-A,7.0,flsh
14.5216465,-5.0823517,50,2.0,II,II-D,1.0,flsh
14.52191,-5.082246,51,2.0,II,II-D,1.0,flsh
11.643923,-0.8514323,52,1.0,I,I-C,7.0,flsh
-3.7830238,-5.2397084,53,1.0,I,I-C,3.0,flsh
1.8540646,1.2692351,54,1.0,III,III-A,7.0,flsh
1.8021871,1.2659596,55,1.0,III,III-A,7.0,flsh
6.833699,3.1647599,56,1.0,IV,IV-A2,3.0,flsh
12.623006,-0.76474166,57,1.0,I,I-C,7.0,flsh
-3.9267788,-5.384697,58,1.0,I,I-C,3.0,flsh
14.51315,-5.0832043,59,2.0,II,II-D,1.0,flsh
8.015935,0.93490714,60,1.0,I,I-B,6.0,flsh
4.0530095,6.1296306,61,1.0,I,I-E,4.0,flsh
3.5757651,-3.9392898,62,2.0,II,II-A,3.0,flsh
5.327999,7.711702,63,1.0,I,I-E,3.0,flsh
8.337832,4.0933385,64,1.0,I,I-C,3.0,flsh
9.521176,1.9148287,65,1.0,I,I-C,3.0,flsh
11.18341,-1.6959289,66,1.0,I,I-C,7.0,flsh
8.411531,-6.829337,67,2.0,II,II-A,4.0,flsh
1.9715128,0.9840318,68,1.0,III,III-A,9.0,flsh
11.589517,-0.47035733,69,1.0,I,I-C,9.0,flsh
9.453655,1.7783397,70,1.0,I,I-C,5.0,flsh
14.440079,-5.1047835,71,2.0,II,II-D,1.0,flsh
4.4167485,5.6899047,72,1.0,I,I-E,5.0,flsh
2.680655,2.063871,73,1.0,III,III-A,11.0,flsh
-3.7437692,-5.203497,74,1.0,I,I-C,3.0,flsh
1.3441482,-1.3952061,75,1.0,III,III-D,9.0,flsh
