x,y,id,crispr_class,crispr_type,crispr_subtype,operon_size,database,category
7.724951,8.181666,1,1.0,I,I-G,4.0,flsh,I
5.2906523,13.031389,2,1.0,III,III-A,13.0,flsh,III
5.4725857,10.175245,3,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7.0,flsh,Not-Annotated-By-Cctyper
13.345218,10.588205,4,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4.0,flsh,Not-Annotated-By-Cctyper
5.843221,7.7983537,5,1.0,I,I-F,5.0,flsh,I
4.2790923,9.423675,6,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,9.0,flsh,Not-Annotated-By-Cctyper
6.090188,1.5174347,7,1.0,I,I-F,7.0,flsh,I
5.846836,10.838275,8,2.0,II,II-D,1.0,flsh,II
4.2387514,13.315251,9,1.0,III,III-B,4.0,flsh,III
8.023262,9.395797,10,1.0,I,I-C,3.0,flsh,I
6.4600153,11.334039,11,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,Not-Annotated-By-Cctyper
10.403245,16.845867,12,1.0,I,I-C,4.0,flsh,I
10.675316,9.395668,13,1.0,I,I-B,8.0,flsh,I
10.683094,9.395471,14,1.0,I,I-B,8.0,flsh,I
7.36196,11.72625,15,2.0,II,II-A,4.0,flsh,II
7.065653,10.801077,16,2.0,VI,VI-A,3.0,flsh,VI
6.3490386,18.024439,17,2.0,II,II-A,4.0,flsh,II
8.700792,18.561033,18,2.0,II,II-A,3.0,flsh,II
4.449006,9.19187,19,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7.0,flsh,Not-Annotated-By-Cctyper
3.982074,8.8901,20,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,Not-Annotated-By-Cctyper
6.6324916,7.9895034,21,1.0,I,I-F,6.0,flsh,I
3.91132,15.498215,22,1.0,III,III-B,10.0,flsh,III
6.3475904,18.007729,23,2.0,II,II-A,4.0,flsh,II
10.581118,9.387997,24,1.0,I,I-B,4.0,flsh,I
8.148317,12.143321,25,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,12.0,flsh,Not-Annotated-By-Cctyper
6.758293,5.554031,26,1.0,I,I-E,6.0,flsh,I
10.398529,16.845438,27,1.0,I,I-C,5.0,flsh,I
7.467096,10.661221,28,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,8.0,flsh,Not-Annotated-By-Cctyper
0.7527501,10.138657,29,1.0,I,I-C,11.0,flsh,I
10.396647,16.848192,30,1.0,I,I-C,4.0,flsh,I
4.699833,10.064269,31,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,Not-Annotated-By-Cctyper
7.064868,11.41518,32,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7.0,flsh,Not-Annotated-By-Cctyper
5.307335,10.062212,33,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4.0,flsh,Not-Annotated-By-Cctyper
5.017419,14.383556,34,1.0,III,III-D,14.0,flsh,III
5.0348616,14.370911,35,1.0,III,III-D,14.0,flsh,III
6.7792363,5.8586345,36,1.0,I,I-E,5.0,flsh,I
