x,y,id,crispr_class,crispr_type,crispr_subtype,operon_size,database
-2.7560084,2.999585,1,1.0,I,I-G,4.0,flsh
14.154319,7.807728,2,1.0,III,III-A,13.0,flsh
-3.1702938,12.259033,3,1.0,I,I-F,5.0,flsh
-3.0140371,11.945971,4,1.0,I,I-F,7.0,flsh
3.0817664,9.271967,5,2.0,II,II-D,1.0,flsh
11.479938,7.228566,6,1.0,III,III-B,4.0,flsh
12.203962,1.2022706,7,1.0,I,I-C,3.0,flsh
4.408287,10.963998,8,1.0,I,I-C,4.0,flsh
2.805955,16.423,9,1.0,I,I-B,8.0,flsh
2.8175807,16.424255,10,1.0,I,I-B,8.0,flsh
3.1645987,11.613068,11,2.0,II,II-A,4.0,flsh
3.12944,11.690328,12,2.0,VI,VI-A,3.0,flsh
0.98299414,2.5701637,13,2.0,II,II-A,4.0,flsh
2.3103733,10.637213,14,2.0,II,II-A,3.0,flsh
-3.2829852,11.89748,15,1.0,I,I-F,6.0,flsh
11.221555,5.7760167,16,1.0,III,III-B,10.0,flsh
1.2964166,4.9216037,17,2.0,II,II-A,4.0,flsh
3.9094238,10.867565,18,1.0,I,I-B,4.0,flsh
1.3863938,12.187731,19,1.0,I,I-E,6.0,flsh
4.063322,10.953811,20,1.0,I,I-C,5.0,flsh
9.829661,13.873795,21,1.0,I,I-C,11.0,flsh
4.225493,10.803887,22,1.0,I,I-C,4.0,flsh
13.674446,6.018278,23,1.0,III,III-D,14.0,flsh
13.6888485,5.9919567,24,1.0,III,III-D,14.0,flsh
1.7450782,12.608097,25,1.0,I,I-E,5.0,flsh
10.296354,14.6652775,26,1.0,I,I-C,11.0,flsh
16.29382,12.202395,27,1.0,I,I-E,8.0,flsh
13.51804,5.068527,28,1.0,III,III-D,8.0,flsh
9.752098,13.921935,29,1.0,I,I-C,8.0,flsh
13.079455,5.4077406,30,1.0,III,III-D,8.0,flsh
3.9959006,10.9633465,31,1.0,I,I-C,4.0,flsh
5.291204,12.978866,32,2.0,VI,VI-D,3.0,flsh
13.454354,7.7630305,33,1.0,III,III-A,11.0,flsh
7.973954,-2.7643526,34,2.0,V,V-A,1.0,flsh
-1.7241154,9.082984,35,2.0,II,II-D,1.0,flsh
0.77929884,2.592157,36,2.0,II,II-A,4.0,flsh
0.7565758,2.5652192,37,2.0,II,II-A,4.0,flsh
12.189661,8.73505,38,1.0,III,III-A,6.0,flsh
9.911588,9.096025,39,1.0,III,III-B,4.0,flsh
13.583198,5.3844843,40,1.0,III,III-D,13.0,flsh
0.64683485,2.4412274,41,2.0,II,II-A,4.0,flsh
10.559548,15.3173,42,1.0,I,I-C,6.0,flsh
-2.6170428,9.108804,43,2.0,II,II-D,1.0,flsh
5.2237024,12.9027405,44,2.0,V,V-A,4.0,flsh
-2.1525054,8.606273,45,2.0,II,II-D,1.0,flsh
7.960074,-2.7578096,46,2.0,V,V-A,1.0,flsh
-2.1632884,8.612808,47,2.0,II,II-D,1.0,flsh
7.9535527,-2.7554588,48,2.0,V,V-A,1.0,flsh
-0.3752003,4.3005333,49,2.0,II,II-A,7.0,flsh
-1.4911871,9.068955,50,2.0,II,II-D,1.0,flsh
-1.4866089,9.071621,51,2.0,II,II-D,1.0,flsh
9.615434,15.031285,52,1.0,I,I-C,7.0,flsh
3.420755,10.906148,53,1.0,I,I-C,3.0,flsh
12.885167,7.372903,54,1.0,III,III-A,7.0,flsh
12.897144,7.3766975,55,1.0,III,III-A,7.0,flsh
9.756019,9.113384,56,1.0,IV,IV-A2,3.0,flsh
11.732117,14.659304,57,1.0,I,I-C,7.0,flsh
3.2528644,11.167083,58,1.0,I,I-C,3.0,flsh
-1.502634,9.075836,59,2.0,II,II-D,1.0,flsh
3.6128817,16.31873,60,1.0,I,I-B,6.0,flsh
6.213734,14.931868,61,1.0,I,I-E,4.0,flsh
2.3595316,10.596579,62,2.0,II,II-A,3.0,flsh
2.5194774,11.596335,63,1.0,I,I-E,3.0,flsh
3.9664996,11.24106,64,1.0,I,I-C,3.0,flsh
-1.9726726,7.364781,65,1.0,I,I-C,3.0,flsh
10.882069,15.320504,66,1.0,I,I-C,7.0,flsh
0.03588524,4.4679284,67,2.0,II,II-A,4.0,flsh
13.806896,8.67151,68,1.0,III,III-A,9.0,flsh
9.75045,14.538018,69,1.0,I,I-C,9.0,flsh
-2.1376605,7.321914,70,1.0,I,I-C,5.0,flsh
-2.61818,9.13949,71,2.0,II,II-D,1.0,flsh
-0.59458095,13.185308,72,1.0,I,I-E,5.0,flsh
13.566788,8.017296,73,1.0,III,III-A,11.0,flsh
3.4834595,10.878024,74,1.0,I,I-C,3.0,flsh
13.595089,5.318222,75,1.0,III,III-D,9.0,flsh
9.628226,13.930068,76,1.0,I,I-C,7.0,flsh
12.678731,0.8837028,77,1.0,I,I-C,6.0,flsh
11.511233,9.410607,78,1.0,III,III-A,3.0,flsh
12.362561,18.46428,79,1.0,I,I-E,10.0,flsh
16.106796,6.053481,80,2.0,V,V-F1,1.0,flsh
11.061129,15.326938,81,1.0,I,I-C,7.0,flsh
3.4757874,10.87083,82,1.0,I,I-C,3.0,flsh
1.8332524,12.593996,83,1.0,I,I-E,4.0,flsh
1.8429085,12.630865,84,1.0,I,I-E,4.0,flsh
1.8488586,12.611187,85,1.0,I,I-E,4.0,flsh
-1.50115,9.097782,86,2.0,II,II-D,1.0,flsh
0.66085935,6.664444,87,2.0,II,II-A,4.0,flsh
7.8664737,14.230233,88,1.0,I,I-C,6.0,flsh
4.3971987,10.977488,89,1.0,I,I-C,4.0,flsh
7.7946415,14.21446,90,1.0,I,I-C,4.0,flsh
-2.6063907,9.127366,91,2.0,II,II-D,1.0,flsh
-2.6456077,9.148081,92,2.0,II,II-D,1.0,flsh
5.293897,13.004917,93,2.0,VI,VI-B1,3.0,flsh
1.3998774,4.6489787,94,2.0,II,II-A,4.0,flsh
13.258164,8.480671,95,1.0,III,III-A,8.0,flsh
10.0590315,15.203494,96,1.0,I,I-C,7.0,flsh
3.571805,11.281226,97,1.0,I,I-C,8.0,flsh
0.6379979,2.4591305,98,2.0,II,II-A,4.0,flsh
-2.6038141,9.179519,99,2.0,II,II-D,1.0,flsh
4.881166,8.880279,100,2.0,V,V-F1,1.0,flsh
11.637423,9.622316,101,1.0,III,III-A,5.0,flsh
8.173355,14.220897,102,1.0,I,I-C,5.0,flsh
0.054302376,4.6469545,103,2.0,II,II-A,4.0,flsh
0.9030836,5.7999096,104,2.0,II,II-A,2.0,flsh
1.4678347,12.182168,105,1.0,I,I-E,7.0,flsh
2.3598158,10.694408,106,2.0,II,II-A,3.0,flsh
5.96794,-0.52052563,107,1.0,I,I-E,8.0,flsh
7.489787,14.247138,108,1.0,I,I-C,3.0,flsh
11.39359,15.335332,109,1.0,I,I-C,7.0,flsh
2.511301,11.898481,110,1.0,III,III-A,5.0,flsh
11.586656,14.735707,111,1.0,I,I-C,7.0,flsh
11.978835,15.263717,112,1.0,I,I-C,7.0,flsh
12.432117,9.411347,113,1.0,III,III-A,7.0,flsh
9.05083,15.12034,114,1.0,I,I-C,7.0,flsh
11.933758,14.496776,115,1.0,I,I-C,7.0,flsh
2.3110244,13.2847595,116,1.0,I,I-E,3.0,flsh
3.9571686,11.309233,117,1.0,I,I-C,7.0,flsh
16.179775,14.640617,118,1.0,I,I-E,9.0,flsh
16.16043,6.0544558,119,2.0,V,V-F1,1.0,flsh
-2.1941714,2.3451662,120,1.0,I,I-G,4.0,flsh
-2.1931348,2.3449614,121,1.0,I,I-G,4.0,flsh
-2.190497,2.34129,122,1.0,I,I-G,4.0,flsh
4.936086,9.23196,123,2.0,V,V-F1,1.0,flsh
16.161165,6.0328026,124,2.0,V,V-F1,1.0,flsh
16.164175,6.029743,125,2.0,V,V-F1,1.0,flsh
4.82162,1.5647495,126,1.0,I,I-E,9.0,flsh
1.7969222,12.556241,127,1.0,I,I-E,4.0,flsh
15.180122,11.932503,128,1.0,I,I-E,8.0,flsh
15.166255,11.932882,129,1.0,I,I-E,8.0,flsh
4.9323254,9.221002,130,2.0,V,V-F1,1.0,flsh
