x,y,id,crispr_class,crispr_type,crispr_subtype,operon_size,database
5.058353,2.3452914,1,1,I,I-G,4,flsh
9.383961,1.0220996,2,1,III,III-A,13,flsh
5.9840274,6.5492425,3,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7,flsh
5.539521,7.5737786,4,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4,flsh
3.8719742,4.424027,5,1,I,I-F,5,flsh
3.8415866,7.7912354,6,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,9,flsh
2.7764108,2.6668317,7,1,I,I-F,7,flsh
6.4022565,5.662322,8,2,II,II-D,1,flsh
7.821534,4.727675,9,1,I,I-C,3,flsh
7.1163497,4.765472,10,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2,flsh
16.797829,4.797453,11,1,I,I-C,4,flsh
8.142292,9.037163,12,1,I,I-B,8,flsh
8.149673,9.03934,13,1,I,I-B,8,flsh
9.084836,5.6116905,14,2,II,II-A,4,flsh
7.8241215,16.246563,15,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2,flsh
8.0282,6.282898,16,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3,flsh
12.159336,7.932443,17,2,II,II-A,4,flsh
10.368928,6.8625636,18,2,II,II-A,3,flsh
4.0788674,7.3190966,19,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7,flsh
2.8872807,7.047497,20,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3,flsh
12.431973,0.8237252,21,1,III,III-B,10,flsh
12.113837,7.942877,22,2,II,II-A,4,flsh
8.292266,8.655264,23,1,I,I-B,4,flsh
8.981405,4.393302,24,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,12,flsh
5.5958247,-0.33229062,25,1,I,I-E,6,flsh
16.922646,4.847391,26,1,I,I-C,5,flsh
8.036614,4.5385003,27,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,8,flsh
12.800982,4.611555,28,1,I,I-C,11,flsh
16.92801,4.911607,29,1,I,I-C,4,flsh
4.5468926,6.4620957,30,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2,flsh
8.698976,6.3077693,31,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7,flsh
5.2590165,6.668709,32,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4,flsh
10.709636,1.86836,33,1,III,III-D,14,flsh
5.3610673,0.1233567,34,1,I,I-E,5,flsh
10.269446,4.1348066,35,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,10,flsh
12.863692,5.8576937,36,1,I,I-C,11,flsh
6.8901587,-2.2148066,37,1,I,I-E,8,flsh
11.305092,0.93483245,38,1,III,III-D,8,flsh
11.373201,0.91817266,39,1,III,III-D,8,flsh
8.632144,4.768512,40,1,I,I-C,4,flsh
6.3550982,5.2127824,41,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2,flsh
5.5089407,7.8485556,42,2,VI,VI-D,3,flsh
11.178802,3.3794315,43,1,III,III-A,11,flsh
5.6348968,7.122952,44,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,12,flsh
3.4220374,4.7221165,45,2,II,II-D,1,flsh
13.193972,7.8152437,46,2,II,II-A,4,flsh
7.1533365,15.173938,47,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1,flsh
11.286876,3.4718997,48,1,III,III-A,6,flsh
11.415927,1.0123967,49,1,III,III-B,4,flsh
12.307966,6.1059327,50,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,5,flsh
7.902952,4.489585,51,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,12,flsh
11.473079,1.5509212,52,1,III,III-D,13,flsh
12.711382,7.145316,53,2,II,II-A,4,flsh
7.217375,15.578779,54,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2,flsh
12.266614,8.97571,55,2,II,II-D,1,flsh
6.035873,5.426061,56,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2,flsh
5.474675,8.565835,57,2,V,V-A,1,flsh
5.0776534,4.875736,58,2,II,II-D,1,flsh
5.4842634,8.631589,59,2,V,V-A,1,flsh
5.0147867,4.613551,60,2,II,II-D,1,flsh
6.366022,5.1806026,61,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4,flsh
7.411333,9.016616,62,1,I,I-C,3,flsh
4.8500414,6.7423887,63,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1,flsh
9.899104,2.2597558,64,1,III,III-A,7,flsh
9.992213,2.2414765,65,1,III,III-A,7,flsh
5.7966604,3.6964056,66,1,IV,IV-A2,3,flsh
13.167161,5.7499785,67,1,I,I-C,7,flsh
12.226159,8.999986,68,2,II,II-D,1,flsh
6.779954,-0.16014053,69,1,I,I-E,4,flsh
10.43222,6.633932,70,2,II,II-A,3,flsh
6.812808,3.010459,71,1,I,I-C,3,flsh
9.906345,6.8468156,72,1,I,I-C,3,flsh
5.132075,7.7084603,73,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,32,flsh
12.15798,6.7949777,74,2,II,II-A,4,flsh
7.1703286,5.074718,75,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,6,flsh
7.19627,7.839778,76,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,34,flsh
