,Label1,Label2,Count
0,Helix-turn-helix domain of resolvase,Integrase core domain,4
1,Helix-turn-helix domain of resolvase,Integrase zinc binding domain,2
2,Helix-turn-helix domain of resolvase,Recombinase,21
3,Helix-turn-helix domain of resolvase,"Resolvase, N terminal domain",23
4,Integrase core domain,"Resolvase, N terminal domain",4
5,Integrase zinc binding domain,"Resolvase, N terminal domain",4
6,Recombinase,"Resolvase, N terminal domain",98
7,"Resolvase, N terminal domain","Resolvase, N terminal domain",57
8,GAD domain,N-6 DNA Methylase,2
9,N-6 DNA Methylase,"tRNA synthetases class II (D, K and N)",2
10,N-6 DNA Methylase,OB-fold nucleic acid binding domain,2
11,N-6 DNA Methylase,Poly A polymerase head domain,2
12,N-6 DNA Methylase,tRNA nucleotidyltransferase domain 2 putative,2
13,N-6 DNA Methylase,Probable RNA and SrmB- binding site of polymerase A,2
14,Formamidopyrimidine-DNA glycosylase H2TH domain,N-6 DNA Methylase,2
15,N-6 DNA Methylase,Zinc finger found in FPG and IleRS,2
16,Formamidopyrimidine-DNA glycosylase N-terminal domain,N-6 DNA Methylase,2
17,N-6 DNA Methylase,PP-loop family,2
18,N-6 DNA Methylase,TilS substrate C-terminal domain,2
19,GAD domain,HsdM N-terminal domain,2
20,HsdM N-terminal domain,"tRNA synthetases class II (D, K and N)",2
21,HsdM N-terminal domain,OB-fold nucleic acid binding domain,2
22,HsdM N-terminal domain,Poly A polymerase head domain,2
23,HsdM N-terminal domain,tRNA nucleotidyltransferase domain 2 putative,2
24,HsdM N-terminal domain,Probable RNA and SrmB- binding site of polymerase A,2
25,Formamidopyrimidine-DNA glycosylase H2TH domain,HsdM N-terminal domain,2
26,HsdM N-terminal domain,Zinc finger found in FPG and IleRS,2
27,Formamidopyrimidine-DNA glycosylase N-terminal domain,HsdM N-terminal domain,2
28,HsdM N-terminal domain,PP-loop family,2
29,HsdM N-terminal domain,TilS substrate C-terminal domain,2
30,Chaperone of endosialidase,YadA head domain repeat (2 copies),4
31,Collagen triple helix repeat (20 copies),YadA head domain repeat (2 copies),9
32,Chaperone of endosialidase,Coiled stalk of trimeric autotransporter adhesin,8
33,Coiled stalk of trimeric autotransporter adhesin,Collagen triple helix repeat (20 copies),18
34,Chaperone of endosialidase,Trimeric autotransporter adhesin Trp ring domain,1
35,Collagen triple helix repeat (20 copies),Trimeric autotransporter adhesin Trp ring domain,1
36,Chaperone of endosialidase,Tryptophan-ring motif of head of Trimeric autotransporter adhesin,1
37,Collagen triple helix repeat (20 copies),Tryptophan-ring motif of head of Trimeric autotransporter adhesin,3
38,Chaperone of endosialidase,Putative cell wall binding repeat,1
39,Collagen triple helix repeat (20 copies),Putative cell wall binding repeat,1
40,Chaperone of endosialidase,Extended Signal Peptide of Type V secretion system,2
41,Collagen triple helix repeat (20 copies),Extended Signal Peptide of Type V secretion system,11
42,Chaperone of endosialidase,YadA-like membrane anchor domain,8
43,Collagen triple helix repeat (20 copies),YadA-like membrane anchor domain,18
44,"DNA polymerase III beta subunit, C-terminal domain","DNA polymerase III beta subunit, N-terminal domain",292
45,"DNA polymerase III beta subunit, N-terminal domain","DNA polymerase III beta subunit, central domain",292
46,"DNA polymerase III beta subunit, N-terminal domain","DNA polymerase III beta subunit, N-terminal domain",134
47,"DNA polymerase III beta subunit, C-terminal domain","DNA polymerase III beta subunit, central domain",332
48,"DNA polymerase III beta subunit, central domain","DNA polymerase III beta subunit, central domain",166
49,"DNA polymerase III beta subunit, C-terminal domain","DNA polymerase III beta subunit, C-terminal domain",166
50,"Bacterial regulatory helix-turn-helix protein, lysR family",LysR substrate binding domain,56
51,"Bacterial regulatory helix-turn-helix protein, lysR family","Bacterial regulatory helix-turn-helix protein, lysR family",28
52,"Bacterial regulatory helix-turn-helix protein, lysR family","RelA/SpoT, AH and RIS domains",3
53,ACT domain,"Bacterial regulatory helix-turn-helix protein, lysR family",3
54,"Bacterial regulatory helix-turn-helix protein, lysR family",NACHT domain,3
55,"Bacterial regulatory helix-turn-helix protein, lysR family",Sulfatase-modifying factor enzyme 1,3
56,"Bacterial regulatory helix-turn-helix protein, lysR family","Schlafen, AlbA_2",3
57,"Bacterial regulatory helix-turn-helix protein, lysR family",Putative ATP-dependent DNA helicase recG C-terminal,3
58,LysR substrate binding domain,LysR substrate binding domain,28
59,LysR substrate binding domain,"RelA/SpoT, AH and RIS domains",3
60,ACT domain,LysR substrate binding domain,3
61,LysR substrate binding domain,NACHT domain,3
62,LysR substrate binding domain,Sulfatase-modifying factor enzyme 1,3
63,LysR substrate binding domain,"Schlafen, AlbA_2",3
64,LysR substrate binding domain,Putative ATP-dependent DNA helicase recG C-terminal,3
65,"Homoserine dehydrogenase, NAD binding domain","Orn/Lys/Arg decarboxylase, major domain",6
66,ACT domain,"Orn/Lys/Arg decarboxylase, major domain",2
67,Homoserine dehydrogenase,"Orn/Lys/Arg decarboxylase, major domain",6
68,Cobalamin synthesis G N-terminal,"Orn/Lys/Arg decarboxylase, major domain",1
69,Cobalamin synthesis G C-terminus,"Orn/Lys/Arg decarboxylase, major domain",1
70,NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus,"Orn/Lys/Arg decarboxylase, major domain",1
71,NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus,"Orn/Lys/Arg decarboxylase, major domain",1
72,"Cytosol aminopeptidase family, N-terminal domain","Orn/Lys/Arg decarboxylase, major domain",2
73,"Cytosol aminopeptidase family, catalytic domain","Orn/Lys/Arg decarboxylase, major domain",2
74,"Orn/Lys/Arg decarboxylase, major domain",RecJ OB domain,2
75,DHHA1 domain,"Orn/Lys/Arg decarboxylase, major domain",2
76,DHH family,"Orn/Lys/Arg decarboxylase, major domain",2
77,"Homoserine dehydrogenase, NAD binding domain","Orn/Lys/Arg decarboxylase, C-terminal domain",6
78,ACT domain,"Orn/Lys/Arg decarboxylase, C-terminal domain",2
79,Homoserine dehydrogenase,"Orn/Lys/Arg decarboxylase, C-terminal domain",6
80,Cobalamin synthesis G N-terminal,"Orn/Lys/Arg decarboxylase, C-terminal domain",1
81,Cobalamin synthesis G C-terminus,"Orn/Lys/Arg decarboxylase, C-terminal domain",1
82,NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus,"Orn/Lys/Arg decarboxylase, C-terminal domain",1
83,NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus,"Orn/Lys/Arg decarboxylase, C-terminal domain",1
84,"Cytosol aminopeptidase family, N-terminal domain","Orn/Lys/Arg decarboxylase, C-terminal domain",2
85,"Cytosol aminopeptidase family, catalytic domain","Orn/Lys/Arg decarboxylase, C-terminal domain",2
86,"Orn/Lys/Arg decarboxylase, C-terminal domain",RecJ OB domain,2
87,DHHA1 domain,"Orn/Lys/Arg decarboxylase, C-terminal domain",2
88,DHH family,"Orn/Lys/Arg decarboxylase, C-terminal domain",2
89,Cna protein B-type domain,RTX calcium-binding nonapeptide repeat (4 copies),10
90,Domain of unknown function (DUF5979),RTX calcium-binding nonapeptide repeat (4 copies),6
91,Haemagglutinin repeat,RTX calcium-binding nonapeptide repeat (4 copies),4
92,Hemagglutinin repeat,RTX calcium-binding nonapeptide repeat (4 copies),4
93,Peptidase family M23,RTX calcium-binding nonapeptide repeat (4 copies),4
94,RTX calcium-binding nonapeptide repeat (4 copies),RTX calcium-binding nonapeptide repeat (4 copies),4
95,Cna protein B-type domain,Haemolysin-type calcium binding protein related domain,4
96,Domain of unknown function (DUF5979),Haemolysin-type calcium binding protein related domain,4
97,Haemagglutinin repeat,Haemolysin-type calcium binding protein related domain,2
98,Haemolysin-type calcium binding protein related domain,Hemagglutinin repeat,2
99,Haemolysin-type calcium binding protein related domain,Peptidase family M23,4
100,Haemolysin-type calcium binding protein related domain,RTX calcium-binding nonapeptide repeat (4 copies),4
101,Starch-binding associating with outer membrane,Starch-binding associating with outer membrane,31
102,Starch-binding associating with outer membrane,SusD family,62
103,"Galactose oxidase-like, Early set domain",Starch-binding associating with outer membrane,4
104,Glyoxal oxidase N-terminus,Starch-binding associating with outer membrane,4
105,Starch-binding associating with outer membrane,Sulfatase-modifying factor enzyme 1,2
106,Starch-binding associating with outer membrane,TIR domain,2
107,"Lactonase, 7-bladed beta-propeller",Starch-binding associating with outer membrane,4
108,Alpha-L-fucosidase,Starch-binding associating with outer membrane,4
109,SusD family,SusD family,31
110,"Galactose oxidase-like, Early set domain",SusD family,4
111,Glyoxal oxidase N-terminus,SusD family,4
112,Sulfatase-modifying factor enzyme 1,SusD family,2
113,SusD family,TIR domain,2
114,"Lactonase, 7-bladed beta-propeller",SusD family,4
115,Alpha-L-fucosidase,SusD family,4
116,Bacterial Ig-like domain (group 2),BspA type Leucine rich repeat region (6 copies),53
117,Bacterial Ig-like domain (group 2),Dockerin type I domain,20
118,Bacterial Ig-like domain (group 2),Chlamydia polymorphic membrane protein (Chlamydia_PMP) repeat,6
119,Bacterial Ig-like domain (group 2),Divergent InlB B-repeat domain,21
120,Bacterial Ig-like domain (group 2),Fibronectin type III domain,10
121,Bacterial Ig-like domain (group 2),Leucine Rich repeats (2 copies),6
122,Bacterial Ig-like domain (group 2),Leucine Rich Repeat,26
123,Bacterial Ig-like domain (group 2),Leucine rich repeat N-terminal domain,14
124,Bacterial Ig-like domain (group 2),Leucine rich repeat,23
125,Bacterial Ig-like domain (group 2),Protein of unknown function (DUF1194),2
126,Bacterial Ig-like domain (group 2),Secretion system C-terminal sorting domain,46
127,Bacterial Ig-like domain (group 2),"Mycoplasma protein of unknown function, DUF285",27
128,Bacterial Ig-like domain (group 2),Right handed beta helix region,5
129,Bacterial Ig-like domain (group 2),Calx-beta domain,20
130,BspA type Leucine rich repeat region (6 copies),BspA type Leucine rich repeat region (6 copies),125
131,BspA type Leucine rich repeat region (6 copies),Dockerin type I domain,38
132,BspA type Leucine rich repeat region (6 copies),Chlamydia polymorphic membrane protein (Chlamydia_PMP) repeat,16
