,Label1,Label2,Count,Total_Label_1,Total_Label_2,p_value,p_value_fdr
47,"DNA polymerase III beta subunit, C-terminal domain","DNA polymerase III beta subunit, central domain",332,860,860,0.0,0.0
554,Arm DNA-binding domain,Phage integrase family,452,1054,2975,0.0,0.0
276,Sigma-70 region 2,"Sigma-70, region 4",605,1441,1376,0.0,0.0
274,"Cas3, HD domain",Helicase conserved C-terminal domain,1876,6232,8058,0.0,0.0
44,"DNA polymerase III beta subunit, C-terminal domain","DNA polymerase III beta subunit, N-terminal domain",292,860,740,0.0,0.0
45,"DNA polymerase III beta subunit, N-terminal domain","DNA polymerase III beta subunit, central domain",292,740,860,0.0,0.0
271,"Cas3, HD domain",DEAD/DEAH box helicase,2191,6232,8905,0.0,0.0
270,DEAD/DEAH box helicase,Helicase conserved C-terminal domain,2932,8905,8058,0.0,0.0
260,Nuclease domain,RuvC nuclease domain,413,906,1167,0.0,0.0
1584,CRISPR Csm4 C-terminal domain,RAMP superfamily,346,519,540,0.0,0.0
1880,Csm1 subunit domain B,HD domain,1141,1892,3234,0.0,0.0
427,"Initiator Rep protein, WH2","Initiator Replication protein, WH1",1980,4247,4247,0.0,0.0
203,HNH endonuclease,RuvC endonuclease subdomain 3,7900,21075,16288,0.0,0.0
202,Cas9 alpha-helical lobe domain,HNH endonuclease,1763,4180,21075,0.0,0.0
2418,CRISPR Cas6 N-terminal domain,CRISPR-associated endoribonuclease Cas6,223,383,653,0.0,0.0
200,HNH endonuclease,PAM-interacting domain of CRISPR-associated endonuclease Cas9,1515,21075,3496,0.0,0.0
199,HNH endonuclease,REC lobe of CRISPR-associated endonuclease Cas9,1760,21075,4506,0.0,0.0
2675,Cas6b C-terminal domain,Cas6b N-terminal domain,696,1125,1125,0.0,0.0
1693,Helix-turn-helix domain,Putative transposase DNA-binding domain,390,2115,1528,0.0,0.0
5345,HTH domain found in ParB protein,ParB/Sulfiredoxin domain,804,1445,1944,0.0,0.0
1694,Probable transposase,Putative transposase DNA-binding domain,535,1430,1528,0.0,0.0
1697,Helix-turn-helix domain,Probable transposase,368,2115,1430,0.0,0.0
796,"CRISPR associated protein Cas6, C-terminal","CRISPR-associated protein Cas6, N-terminal",857,1319,1364,0.0,0.0
1081,Arm DNA-binding domain,"Phage integrase, N-terminal SAM-like domain",348,1054,2634,0.0,0.0
