,Unnamed: 0,Label1,Label2,Count,Total_Label_1,Total_Label_2,p_value,p_value_fdr,Count_normalized
1880,1880,Csm1 subunit domain B,HD domain,1141,1892,3234,0.0,0.0,7.04
5345,5345,HTH domain found in ParB protein,ParB/Sulfiredoxin domain,804,1445,1944,0.0,0.0,6.69
796,796,"CRISPR associated protein Cas6, C-terminal","CRISPR-associated protein Cas6, N-terminal",857,1319,1364,0.0,0.0,6.75
7669,7669,HAMP domain,Methyl-accepting chemotaxis protein (MCP) signalling domain,422,2068,1280,0.0,0.0,6.05
427,427,"Initiator Rep protein, WH2","Initiator Replication protein, WH1",1980,4247,4247,0.0,0.0,7.59
44,44,"DNA polymerase III beta subunit, C-terminal domain","DNA polymerase III beta subunit, N-terminal domain",292,860,740,0.0,0.0,5.68
45,45,"DNA polymerase III beta subunit, N-terminal domain","DNA polymerase III beta subunit, central domain",292,740,860,0.0,0.0,5.68
47,47,"DNA polymerase III beta subunit, C-terminal domain","DNA polymerase III beta subunit, central domain",332,860,860,0.0,0.0,5.81
2418,2418,CRISPR Cas6 N-terminal domain,CRISPR-associated endoribonuclease Cas6,223,383,653,0.0,0.0,5.41
1584,1584,CRISPR Csm4 C-terminal domain,RAMP superfamily,346,519,540,0.0,0.0,5.85
554,554,Arm DNA-binding domain,Phage integrase family,452,1054,2975,0.0,0.0,6.12
553,553,Phage integrase family,"Phage integrase, N-terminal SAM-like domain",1382,2975,2634,0.0,0.0,7.23
1081,1081,Arm DNA-binding domain,"Phage integrase, N-terminal SAM-like domain",348,1054,2634,0.0,0.0,5.86
203,203,HNH endonuclease,RuvC endonuclease subdomain 3,7900,21075,16288,0.0,0.0,8.97
306,306,Alpha helical recognition lobe domain,RuvC nuclease domain,276,574,1167,0.0,0.0,5.62
271,271,"Cas3, HD domain",DEAD/DEAH box helicase,2191,6232,8905,0.0,0.0,7.69
270,270,DEAD/DEAH box helicase,Helicase conserved C-terminal domain,2932,8905,8058,0.0,0.0,7.98
202,202,Cas9 alpha-helical lobe domain,HNH endonuclease,1763,4180,21075,0.0,0.0,7.48
344,344,Cas9 alpha-helical lobe domain,RuvC endonuclease subdomain 3,1523,4180,16288,0.0,0.0,7.33
1697,1697,Helix-turn-helix domain,Probable transposase,368,2115,1430,0.0,0.0,5.91
1694,1694,Probable transposase,Putative transposase DNA-binding domain,535,1430,1528,0.0,0.0,6.28
1693,1693,Helix-turn-helix domain,Putative transposase DNA-binding domain,390,2115,1528,0.0,0.0,5.97
274,274,"Cas3, HD domain",Helicase conserved C-terminal domain,1876,6232,8058,0.0,0.0,7.54
276,276,Sigma-70 region 2,"Sigma-70, region 4",605,1441,1376,0.0,0.0,6.41
199,199,HNH endonuclease,REC lobe of CRISPR-associated endonuclease Cas9,1760,21075,4506,0.0,0.0,7.47
200,200,HNH endonuclease,PAM-interacting domain of CRISPR-associated endonuclease Cas9,1515,21075,3496,0.0,0.0,7.32
260,260,Nuclease domain,RuvC nuclease domain,413,906,1167,0.0,0.0,6.03
2675,2675,Cas6b C-terminal domain,Cas6b N-terminal domain,696,1125,1125,0.0,0.0,6.55
969,969,Ankyrin repeats (3 copies),Ankyrin repeats (many copies),170,512,463,5.94957305814e-312,2.510598410676745e-309,5.14
323,323,His Kinase A (phospho-acceptor) domain,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",804,4527,6352,6.955785821488201e-305,2.8200937927629717e-302,6.69
193,193,CRISPR associated protein Cas1,Reverse transcriptase (RNA-dependent DNA polymerase),296,1386,1632,2.4645004376015544e-302,9.799706836209104e-300,5.69
204,204,PAM-interacting domain of CRISPR-associated endonuclease Cas9,REC lobe of CRISPR-associated endonuclease Cas9,586,3496,4506,1.0039329839838764e-284,3.916664586761248e-282,6.38
6507,6507,"Bacterial regulatory proteins, tetR family","Tetracyclin repressor-like, C-terminal domain",132,392,261,4.9382811228739516e-282,1.890904421808606e-279,4.89
210,210,Bridge helix of CRISPR-associated endonuclease Cas9,REC lobe of CRISPR-associated endonuclease Cas9,421,1651,4506,3.1244717874624868e-279,1.1746309663520335e-276,6.05
4507,4507,HipA N-terminal domain,HipA-like C-terminal domain,136,351,351,2.7653554647187383e-278,1.02105812399981e-275,4.92
635,635,TonB dependent receptor,TonB-dependent Receptor Plug Domain,124,276,286,6.854417859142853e-277,2.486470141640295e-274,4.83
307,307,Alpha helical recognition lobe domain,Nuclease domain,177,574,906,1.329646074322039e-258,4.5070642424191483e-256,5.18
7665,7665,Cache domain,Methyl-accepting chemotaxis protein (MCP) signalling domain,208,809,1280,3.6698618045523497e-252,1.2044719449639516e-249,5.34
156,156,DEAD/DEAH box helicase,"Type III restriction enzyme, res subunit",520,8905,1671,1.5725747807995635e-248,5.080645116030089e-246,6.26
7228,7228,Coiled stalk of trimeric autotransporter adhesin,YadA-like membrane anchor domain,158,627,582,4.033662498089681e-248,1.2831390688153898e-245,5.07
11405,11405,PPE family,Pentapeptide repeats (8 copies),96,184,238,5.159966925525495e-230,1.6165550927134948e-227,4.57
548,548,Phage integrase SAM-like domain,Phage integrase family,210,512,2975,3.111146981414636e-225,9.601371064882151e-223,5.35
639,639,Choline-binding repeat,Putative cell wall binding repeat,239,1581,1390,4.904291659275077e-222,1.4912652741004526e-219,5.48
2937,2937,PAS domain,PAS fold,495,3511,4419,2.2202706460140263e-208,6.653411035888698e-206,6.21
157,157,Helicase conserved C-terminal domain,"Type III restriction enzyme, res subunit",442,8058,1671,1.109022295021109e-196,3.184896388076593e-194,6.09
275,275,Cas3 C-terminal domain,Helicase conserved C-terminal domain,384,1295,8058,7.314574800980359e-190,2.0438305832414984e-187,5.95
272,272,Cas3 C-terminal domain,DEAD/DEAH box helicase,400,1295,8905,1.9422265135144728e-189,5.354589015991835e-187,5.99
587,587,"KhpA/KhpB, KH domain",R3H domain,128,613,681,2.57264536184907e-178,6.733492170500408e-176,4.86
7234,7234,Coiled stalk of trimeric autotransporter adhesin,Extended Signal Peptide of Type V secretion system,117,627,462,2.8912666716182786e-178,7.472840121131391e-176,4.77
3507,3507,Collagen triple helix repeat (20 copies),LPXTG cell wall anchor motif,106,334,577,1.6829025798700358e-177,4.295972425181819e-175,4.67
322,322,PAS fold,Response regulator receiver domain,494,4419,4193,6.572856275575644e-174,1.657401819635093e-171,6.2
1882,1882,"CRISPR RNA silencing complex Cmr2 subunit, second helical domain",Csm1 subunit domain B,125,250,1892,7.253051409206684e-173,1.806883662508031e-170,4.84
7664,7664,Cache domain,HAMP domain,182,809,2068,2.601421841620909e-169,6.328188166964181e-167,5.21
7227,7227,Extended Signal Peptide of Type V secretion system,YadA-like membrane anchor domain,109,462,582,6.49415504232836e-166,1.5613912070956222e-163,4.7
549,549,Phage integrase SAM-like domain,"Phage integrase, N-terminal SAM-like domain",164,512,2634,2.348606051558559e-163,5.518423560008672e-161,5.11
7236,7236,Coiled stalk of trimeric autotransporter adhesin,YadA head domain repeat (2 copies),105,627,390,6.931225756312292e-163,1.6103028647558346e-160,4.66
626,626,Cas3 C-terminal domain,"Cas3, HD domain",315,1295,6232,4.972260752722855e-160,1.1297959954291259e-157,5.76
6516,6516,Tn7-like transposition protein D,TniQ,86,322,328,1.806921199824203e-159,4.061055396604896e-157,4.47
329,329,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",PAS fold,586,6352,4419,3.097195342567626e-156,6.886097644975356e-154,6.38
159,159,"Cas3, HD domain","Type III restriction enzyme, res subunit",350,6232,1671,9.260229696972276e-156,2.0369549940882528e-153,5.86
794,794,CRISPR associated protein Cas1,Domain of unknown function DUF83,106,1386,233,1.7545596272479639e-155,3.8188452013269634e-153,4.67
325,325,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",PAS domain,507,6352,3511,5.721419306384551e-150,1.219606051526942e-147,6.23
7230,7230,YadA head domain repeat (2 copies),YadA-like membrane anchor domain,97,390,582,6.917535973158713e-150,1.4595295032347218e-147,4.58
1555,1555,TPR repeat,Tetratricopeptide repeat,125,459,1407,9.80036315675508e-149,2.0468899898204524e-146,4.84
599,599,Jag N-terminus,R3H domain,104,461,681,3.056778029878485e-148,6.3204999323797435e-146,4.65
