,x,y,type,id,color
0,-2.9947622,-1.8371468,CRISPR associated protein Cas1,0,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
1,-2.0731106,3.1004732,CRISPR associated protein Cas1,1,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
2,-2.4213662,-3.713847,CRISPR associated protein Cas1,2,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
3,-0.35446998,5.1279955,CRISPR associated protein Cas1,3,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
4,12.744983,2.7914715,CRISPR associated protein Cas2,4,"(1.0, 0.4980392156862745, 0.054901960784313725)"
5,-3.5416753,0.059476223,CRISPR associated protein Cas1,5,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
6,13.451382,-2.693095,CRISPR associated protein Cas2,6,"(1.0, 0.4980392156862745, 0.054901960784313725)"
7,-3.85637,0.35192353,CRISPR associated protein Cas1,7,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
8,13.652565,-0.115180455,CRISPR associated protein Cas2,8,"(1.0, 0.4980392156862745, 0.054901960784313725)"
9,-6.791843,2.378451,CRISPR associated protein Cas1,9,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
10,9.051418,-0.8081613,CRISPR associated protein Cas2,10,"(1.0, 0.4980392156862745, 0.054901960784313725)"
11,12.607769,-1.729615,CRISPR associated protein Cas2,11,"(1.0, 0.4980392156862745, 0.054901960784313725)"
12,12.292689,1.8634627,CRISPR associated protein Cas2,12,"(1.0, 0.4980392156862745, 0.054901960784313725)"
13,-3.6370966,-0.3008744,CRISPR associated protein Cas1,13,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
14,-5.573578,1.422809,CRISPR associated protein Cas1,14,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
15,-1.5407596,-2.2968569,CRISPR associated protein Cas1,15,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
16,12.687673,-2.1401496,CRISPR associated protein Cas2,16,"(1.0, 0.4980392156862745, 0.054901960784313725)"
17,15.924987,-2.511918,CRISPR associated protein Cas2,17,"(1.0, 0.4980392156862745, 0.054901960784313725)"
