,x,y,type,id,color
0,-0.51591974,-2.919057,CRISPR associated protein Cas1,0,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
1,0.5960135,1.0662372,CRISPR associated protein Cas1,1,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
2,2.2321737,-3.034033,CRISPR associated protein Cas1,2,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
3,-1.3113909,3.7338119,CRISPR associated protein Cas1,3,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
4,0.29433918,10.870854,CRISPR associated protein Cas2,4,"(1.0, 0.4980392156862745, 0.054901960784313725)"
5,-0.16811404,-0.88104284,CRISPR associated protein Cas1,5,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
6,-0.31505394,14.337038,CRISPR associated protein Cas2,6,"(1.0, 0.4980392156862745, 0.054901960784313725)"
7,-0.51748264,-0.90441936,CRISPR associated protein Cas1,7,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
8,0.112388335,12.75511,CRISPR associated protein Cas2,8,"(1.0, 0.4980392156862745, 0.054901960784313725)"
9,-3.0940342,0.14374267,CRISPR associated protein Cas1,9,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
10,0.88582027,6.1820946,CRISPR associated protein Cas2,10,"(1.0, 0.4980392156862745, 0.054901960784313725)"
11,1.4604403,13.251725,CRISPR associated protein Cas2,11,"(1.0, 0.4980392156862745, 0.054901960784313725)"
12,1.8923664,11.968363,CRISPR associated protein Cas2,12,"(1.0, 0.4980392156862745, 0.054901960784313725)"
13,2.4151285,1.2914951,CRISPR associated protein Cas1,13,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
14,-0.86700314,-1.6064239,CRISPR associated protein Cas1,14,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
15,1.933608,-2.846989,CRISPR associated protein Cas1,15,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
16,2.3490732,13.474413,CRISPR associated protein Cas2,16,"(1.0, 0.4980392156862745, 0.054901960784313725)"
