,Label1,Label2,Count_normalized
1880,Csm1 subunit domain B,HD domain,7.04
5345,HTH domain found in ParB protein,ParB/Sulfiredoxin domain,6.69
796,"CRISPR associated protein Cas6, C-terminal","CRISPR-associated protein Cas6, N-terminal",6.75
7669,HAMP domain,Methyl-accepting chemotaxis protein (MCP) signalling domain,6.05
427,"Initiator Rep protein, WH2","Initiator Replication protein, WH1",7.59
44,"DNA polymerase III beta subunit, C-terminal domain","DNA polymerase III beta subunit, N-terminal domain",5.68
45,"DNA polymerase III beta subunit, N-terminal domain","DNA polymerase III beta subunit, central domain",5.68
47,"DNA polymerase III beta subunit, C-terminal domain","DNA polymerase III beta subunit, central domain",5.81
2418,CRISPR Cas6 N-terminal domain,CRISPR-associated endoribonuclease Cas6,5.41
1584,CRISPR Csm4 C-terminal domain,RAMP superfamily,5.85
554,Arm DNA-binding domain,Phage integrase family,6.12
553,Phage integrase family,"Phage integrase, N-terminal SAM-like domain",7.23
1081,Arm DNA-binding domain,"Phage integrase, N-terminal SAM-like domain",5.86
203,HNH endonuclease,RuvC endonuclease subdomain 3,8.97
306,Alpha helical recognition lobe domain,RuvC nuclease domain,5.62
271,"Cas3, HD domain",DEAD/DEAH box helicase,7.69
270,DEAD/DEAH box helicase,Helicase conserved C-terminal domain,7.98
202,Cas9 alpha-helical lobe domain,HNH endonuclease,7.48
344,Cas9 alpha-helical lobe domain,RuvC endonuclease subdomain 3,7.33
1697,Helix-turn-helix domain,Probable transposase,5.91
1694,Probable transposase,Putative transposase DNA-binding domain,6.28
1693,Helix-turn-helix domain,Putative transposase DNA-binding domain,5.97
274,"Cas3, HD domain",Helicase conserved C-terminal domain,7.54
276,Sigma-70 region 2,"Sigma-70, region 4",6.41
199,HNH endonuclease,REC lobe of CRISPR-associated endonuclease Cas9,7.47
200,HNH endonuclease,PAM-interacting domain of CRISPR-associated endonuclease Cas9,7.32
260,Nuclease domain,RuvC nuclease domain,6.03
2675,Cas6b C-terminal domain,Cas6b N-terminal domain,6.55
969,Ankyrin repeats (3 copies),Ankyrin repeats (many copies),5.14
